id,group,average_speed,average_distance_per_frame,maximal_distance_traveled,average_change_in_pixels,average_angular_speed,total_distance_traveled,distance_traveled_bin,average_acceleration,time_elapsed_(hours),std_speed,std/mean,roaming_fraction,lifespan,drugged,worm_id
0,0.0,7.819095252142668,15.638190504285337,14053.72459711198,-0.16796440489432704,1.3671359611121847,14053.72459711198,14053.72459711198,8.33679463224375,0.5,25.67003598172831,3.2829931282259217,0.6262513904338154,336.3338888888889,1,1
1,1.0,1.5448597169452156,3.0897194338904312,16964.24912899533,0.018909899888765295,1.2490757051476968,16964.24912899533,2910.5245318833495,1.4494766148251677,6.5,8.14243495993391,5.270663006240236,0.25806451612903225,336.3338888888889,1,1
2,2.0,0.8940150450800987,1.7880300901601973,18734.778324898918,0.025583982202447165,1.740299080020309,18734.778324898918,1770.5291959035894,0.7356146187856809,12.5,5.933430947012813,6.636835677056431,0.03670745272525028,336.3338888888889,1,1
3,3.0,1.2722209615285363,2.5444419230570725,21288.882989710208,-0.030033370411568408,1.5423103174476438,21288.882989710208,2554.1046648112897,0.8676975293666548,18.5,3.3402857520120395,2.625554721248095,0.22246941045606228,336.3338888888889,1,1
4,4.0,2.0166615182994887,4.033323036598977,25038.5442004922,0.0011123470522803114,1.5299146739732203,25038.5442004922,3749.661210781993,3.14616822336886,24.5,15.681272714570897,7.775857560764004,0.07452725250278086,336.3338888888889,1,1
5,5.0,2.711141169572908,5.422282339145816,30006.457146205117,0.035595105672969966,1.2162247467106577,30006.457146205117,4967.912945712917,2.666273816526681,30.5,12.723108354428406,4.692897772059839,0.35372636262513907,336.3338888888889,1,1
6,6.0,0.38171825071349175,0.7634365014269835,30706.392292184923,-0.030033370411568408,1.7037001566558194,30706.392292184923,699.9351459798054,0.35654216093346264,36.5,0.6565923761609288,1.7200968906612504,0.01668520578420467,336.3338888888889,1,1
7,7.0,0.9095771326411748,1.8191542652823496,32440.404776060157,0.15127919911012236,1.6531522572040893,32440.404776060157,1734.0124838752345,0.8197916855867454,42.5,5.151091473826121,5.663171697015617,0.1468298109010011,336.3338888888889,1,1
8,8.0,0.374494811276862,0.748989622553724,33174.514409664276,-0.13793103448275862,1.6603403476098664,33174.514409664276,734.1096336041192,0.38699287470248234,48.5,0.6952117127829899,1.8563987853733535,0.041156840934371525,336.3338888888889,1,1
9,9.0,1.1488112347347121,2.2976224694694243,35452.70147727518,0.27363737486095663,1.6674459470530836,35452.70147727518,2278.187067610903,0.8487526540568968,54.5,1.6886972475802429,1.469951891591836,0.2903225806451613,336.3338888888889,1,1
