id,group,average_speed,average_distance_per_frame,maximal_distance_traveled,average_change_in_pixels,average_angular_speed,total_distance_traveled,distance_traveled_bin,average_acceleration,time_elapsed_(hours),std_speed,std/mean,roaming_fraction,lifespan,drugged1,drugged2,worm_id
0,0.0,7.819095252142663,15.638190504285326,14053.724597111972,-0.16796440489432704,1.3671359611122178,14053.724597111972,14053.724597111972,8.336794632243745,0.5,25.670035981728315,3.2829931282259244,0.6262513904338154,228.445,1,0,1
1,1.0,1.544859716945217,3.089719433890434,16964.249128995318,0.018909899888765295,1.2490757051477055,16964.249128995318,2910.524531883346,1.4494766148251674,6.5,8.14243495993391,5.270663006240231,0.25806451612903225,228.445,1,0,1
2,2.0,0.894015045080099,1.788030090160198,18734.7783248989,0.025583982202447165,1.7402990800203157,18734.7783248989,1770.5291959035821,0.73561461878568,12.5,5.933430947012813,6.636835677056429,0.03670745272525028,228.445,1,0,1
3,3.0,1.2722209615285325,2.544441923057065,21288.88298971019,-0.030033370411568408,1.5423103174476758,21288.88298971019,2554.1046648112897,0.8676975293666556,18.5,3.3402857520120413,2.625554721248104,0.22246941045606228,228.445,1,0,1
4,4.0,2.016661518299488,4.033323036598976,25038.54420049219,0.0011123470522803114,1.5299146739732374,25038.54420049219,3749.661210782,3.146168223368858,24.5,15.681272714570895,7.775857560764007,0.07452725250278086,228.445,1,0,1
5,5.0,2.711141169572909,5.422282339145818,30006.457146205106,0.035595105672969966,1.2162247467106322,30006.457146205106,4967.912945712917,2.6662738165266786,30.5,12.723108354428403,4.692897772059836,0.35372636262513907,228.445,1,0,1
6,6.0,0.38171825071349164,0.7634365014269833,30706.392292184904,-0.030033370411568408,1.703700156655764,30706.392292184904,699.9351459797981,0.35654216093346247,36.5,0.6565923761609278,1.7200968906612484,0.01668520578420467,228.445,1,0,1
7,7.0,0.9095771326411743,1.8191542652823487,32440.40477606016,0.15127919911012236,1.6531522572040904,32440.40477606016,1734.0124838752563,0.8197916855867483,42.5,5.151091473826122,5.663171697015621,0.1468298109010011,228.445,1,0,1
8,8.0,0.37449481127686307,0.7489896225537261,33174.51440966427,-0.13793103448275862,1.6603403476098366,33174.51440966427,734.1096336041082,0.38699287470248006,48.5,0.6952117127829901,1.8563987853733488,0.041156840934371525,228.445,1,0,1
9,9.0,1.1488112347347124,2.2976224694694247,35452.70147727517,0.27363737486095663,1.6674459470530867,35452.70147727517,2278.187067610903,0.8487526540568958,54.5,1.6886972475802433,1.4699518915918361,0.2903225806451613,228.445,1,0,1
10,10.0,1.2118169274538158,2.4236338549076315,38027.41819260745,-0.20133481646273638,1.3132028887555656,38027.41819260745,2574.7167153322807,0.81945354825457,60.5,1.610870177981764,1.3293015978629799,0.35372636262513907,228.445,1,0,1
11,11.0,0.960941083605558,1.921882167211116,40003.2139683464,-0.08453837597330367,1.5459350331574788,40003.2139683464,1975.795775738945,0.7886128147035082,66.5,2.9084028883158792,3.026619360890709,0.3181312569521691,228.445,1,0,1
12,12.0,1.1509648520500855,2.301929704100171,42073.012538005736,0.8609566184649611,1.4123050891649054,42073.012538005736,2069.7985696593387,1.002130547833593,72.5,5.915625724989364,5.139710143583028,0.3303670745272525,228.445,1,0,1
13,13.0,1.4411921411632198,2.8823842823264396,44666.65339739862,0.04004449388209121,1.4774099145789612,44666.65339739862,2593.6408593928863,1.2071865307104521,78.5,2.786774469760024,1.9336592187567394,0.3259176863181313,228.445,1,0,1
14,14.0,2.467834031045256,4.935668062090512,49090.00301829872,-0.5142531356898518,1.0003575142225007,49090.00301829872,4423.349620900095,1.3457573902818387,84.49555555555555,2.4068971510255466,0.9753075452995923,0.6898517673888256,228.445,1,0,1
15,15.0,1.783864049131158,3.567728098262316,52721.90616647402,0.9344632768361582,1.1212568579031565,52721.90616647402,3631.9031481753045,1.3385474836937257,90.5,4.746044605333564,2.660541652624904,0.488135593220339,228.445,1,0,1
16,16.0,1.7613325807519646,3.5226651615039293,55897.81061548567,-0.45383759733036705,1.3909491312163176,55897.81061548567,3175.9044490116503,1.3109294128608582,96.5,2.985719285958971,1.69514793434655,0.4482758620689655,228.445,1,0,1
17,17.0,1.5388691644495955,3.077738328899191,58667.288722661695,0.203559510567297,1.2022822052289723,58667.288722661695,2769.4781071760226,1.2067772657913962,102.5,3.562372026045441,2.3149284606788436,0.45272525027808674,228.445,1,0,1
18,18.0,1.8897513422594063,3.7795026845188127,62043.078828446516,-1.0660694288913775,1.1235448562994044,62043.078828446516,3375.790105784821,1.3369592444214922,108.49666666666667,2.333266947519929,1.234695219070595,0.58006718924972,228.445,1,0,1
19,19.0,0.6356809897135314,1.2713619794270627,63409.681152442085,1.1979977753058955,1.2735642005636125,63409.681152442085,1366.6023239955684,0.5208718692795797,114.5,1.3579133743736245,2.1361553929519994,0.12903225806451613,228.445,1,0,1
20,20.0,1.0131013681447933,2.0262027362895867,65231.30184076149,-0.44938820912124583,1.4005996584892744,65231.30184076149,1821.6206883194027,0.8685845598785561,120.5,1.8170334378092274,1.7935356667582107,0.3303670745272525,228.445,1,0,1
21,21.0,1.1193516795174843,2.2387033590349685,67244.21210581237,0.10567296996662959,1.3569187850069484,67244.21210581237,2012.9102650508867,0.8773322233459536,126.5,2.9003990695587945,2.5911419285215715,0.27697441601779754,228.445,1,0,1
22,22.0,1.1821207026189096,2.364241405237819,69369.90413603115,0.1724137931034483,1.3059174554159962,69369.90413603115,2125.692030218779,0.9924355647914564,132.5,2.1631801728444353,1.8299148031601629,0.40378197997775306,228.445,1,0,1
23,23.0,0.4711862639832116,0.9423725279664232,70217.64307273699,-1.0400444938820912,1.4145575326024316,70217.64307273699,847.7389367058349,0.5827766468738383,138.5,2.9190257709921767,6.195057016976585,0.026696329254727477,228.445,1,0,1
24,24.0,0.5519301006582417,1.1038602013164833,71210.94355675798,-0.014460511679644048,1.701493106932546,71210.94355675798,993.3004840209906,0.5704367252593041,144.5,3.2326923727976764,5.857068438453185,0.05116796440489433,228.445,1,0,1
